,Endothelial.cells,Fibroblasts,T.cells,Smooth.muscle.cells,Macrophages,Plasma.cells
0,A2M,ABCA8,ADGRG5,A2M,ALOX5,ADGRG5
1,ADGRA2,ABCA9,AGAP2,ACTA2,ALOX5AP,APOBEC3G
2,ARAP3,ADGRA2,AKNA,ADGRA2,AOAH,AURKB
3,CD109,ANGPTL5,ALOX5AP,ASPN,AQP9,BIRC5
4,CD93,ASPN,AOAH,BGN,ARHGAP4,BTN2A2
5,CDH5,BGN,APOBEC3G,C1QTNF7,CASP1,BTN3A1
6,CLEC3B,BOC,APOBEC3H,CCDC102B,CD180,BUB1
7,DYSF,C1QTNF7,ARHGAP25,CCN3,CD48,CCDC88C
8,EBF3,CCN3,ARHGAP4,CDH6,CD68,CCPG1
9,EFNB2,CLEC3B,ARHGAP45,CLEC3B,CD72,CD180
10,ENTPD1,COL14A1,ARHGEF1,COL14A1,CD74,CDCA2
11,ERG,COL6A1,ARL4C,COL6A1,CD86,CENPA
12,ETS1,CTSK,BATF,EBF3,CD93,CENPE
13,FAM107A,DCN,BCL11B,EDNRA,CIITA,CENPM
14,FCGR2B,EBF3,BIN2,EGFLAM,CLEC4E,CREB3L2
15,FGD5,ECM1,BTN3A1,ELN,COTL1,CYTIP
16,FLI1,EFEMP1,CA5B,FLNA,CPM,DDOST
17,FXYD6,ELN,CAMK4,FOXS1,CPVL,DLGAP5
18,GJC2,FBLN1,CCDC88C,GALNT16,CYBB,E2F8
19,HOXD9,FCGR2B,CCND3,GCK,DOCK8,ENTPD1
20,ICAM2,GALNT16,CD226,GPC3,ENTPD1,ERLEC1
21,JCAD,GDF6,CD37,GUCY1A1,F13A1,ERN1
22,LMCD1,GLI2,CD48,GUCY1B1,FCER1G,EXO1
23,LOXL2,GPC3,CDC42SE2,ID4,FCGR2B,FCGR2B
24,MCAM,GSN,CDKN1B,IL17B,FGL2,GBA
25,MEOX2,HTRA1,CST7,ITIH5,FLI1,GSTM2
26,NOTCH1,ITIH5,CYTIP,LGALS1,FMNL1,HASPIN
27,NOVA2,LAMA4,DEF6,LMOD1,FYB1,HJURP
28,NRP2,LOXL1,DENND1C,LOXL1,GAL3ST4,ICAM2
29,PLAT,LOXL2,DOCK8,LOXL2,GPR34,IL2RG
30,SHANK3,LPAR4,DUSP2,MAP1B,GSDMA,ITGB7
31,SOX7,LRRN4CL,ETS1,MCAM,HCK,KIF14
32,TGFBR2,LTBP4,EVL,MEOX2,HCST,KIF18B
33,TPO,MEOX2,FLI1,MFGE8,HLA-DMA,KIF4A
34,UACA,MRC2,FMNL1,MRGPRF,HLA-DMB,KIFC1
35,ZNF366,MRGPRF,FOXP3,MYL9,HLA-DOA,KLHL14
36,,OGN,FYB1,MYLK,HLA-DPA1,KNTC1
37,,PCDH18,GPR65,NRIP2,HLA-DPB1,LMAN1
38,,PCOLCE,HCST,OLFML2B,HLA-DQA1,LPXN
39,,PIMREG,IKZF1,PCDH18,HLA-DQB1,LY9
40,,PLA2G2A,IL2RA,PCOLCE,HLA-DRA,MAP4K1
41,,PLAT,IL2RG,PDE5A,HLA-DRB1,MCM2
42,,PLPP3,IL9R,PPP1R14A,HMOX1,MKI67
43,,PRRX1,INPP5D,PRRX1,IL2RA,MTDH
44,,SDC2,ITGAL,SDC2,ITGAM,NCAPH
45,,SERPINA3,ITGB7,SEMA5B,ITGAX,NEIL3
46,,SFRP4,LAG3,SLIT3,ITGB2,P2RY10
47,,SLIT3,LCP2,SPEG,LAIR1,PKMYT1
48,,SPON2,LIMD2,SUCNR1,LCP2,PNOC
49,,TCEAL7,LPXN,SYNPO2,LILRB5,POLQ
50,,TGFBR2,LY9,TAGLN,LIPA,RAC2
51,,THY1,MAP4K1,THY1,LPXN,RHBDD1
52,,TMEM119,MATK,TMEM119,LYZ,RPN1
53,,,MMP25,,MARCO,RRM2
54,,,MYBL1,,MCEMP1,SEL1L
55,,,MYO1F,,MMP25,SKA1
56,,,MYO1G,,MMP8,SKA3
57,,,NLRC3,,MRC1,SP140
58,,,NLRC5,,MYO1F,STT3A
59,,,P2RY10,,MYO1G,SUB1
60,,,PARVG,,OLFML2B,SYK
61,,,PCED1B,,PADI4,TAGAP
62,,,PIK3CD,,PARVG,TM9SF1
63,,,PRKCQ,,PIK3AP1,TPST2
64,,,PSTPIP1,,PIK3CD,TPX2
65,,,PTGDR,,PLAUR,TROAP
66,,,PTPN7,,PLBD1,UHRF1
67,,,PTPRC,,PLCB2,
68,,,RAC2,,PSAP,
69,,,RASAL3,,PSTPIP1,
70,,,RASGRP1,,PTAFR,
71,,,RASSF5,,PTPN6,
72,,,RBM38,,PTPRC,
73,,,RUNX3,,RILPL2,
74,,,SELPLG,,RNASE1,
75,,,SEPTIN1,,S100A4,
76,,,SKAP1,,SAMHD1,
77,,,SP140,,SELPLG,
78,,,SPN,,SIGLEC10,
79,,,STAT4,,SLC7A7,
80,,,STK4,,SLCO2B1,
81,,,SYTL3,,SUCNR1,
82,,,TAGAP,,SYK,
83,,,TBC1D10C,,TAGAP,
84,,,TESPA1,,TFEC,
85,,,THEMIS,,THEMIS2,
86,,,TNF,,TLR7,
87,,,TRAF3IP3,,TNF,
88,,,,,TRPM2,
89,,,,,TYROBP,
90,,,,,VSIG4,
