,T.cells,Fibroblasts,Plasma.cells
0,ICOS,SFRP2,IGHA1
1,TRAC,,IGHA2
2,TRAV12-2,,IGHG2
3,TRAV12-3,,IGHJ1
4,TRAV13-1,,IGHJ2
5,TRAV14DV4,,IGHJ3
6,TRAV2,,IGHJ4
7,TRAV21,,IGHJ5
8,TRAV27,,IGHJ6
9,TRAV4,,IGHV1-18
10,TRAV8-2,,IGHV1-2
11,TRAV8-3,,IGHV1-24
12,TRAV9-2,,IGHV1-3
13,TRBV12-3,,IGHV1-45
14,TRBV15,,IGHV1-46
15,TRBV19,,IGHV1-58
16,TRBV20-1,,IGHV1-69
17,TRBV24-1,,IGHV1-69D
18,TRBV28,,IGHV2-26
19,TRBV29-1,,IGHV2-5
20,TRBV4-2,,IGHV2-70
21,TRBV5-1,,IGHV2-70D
22,TRBV5-5,,IGHV3-11
23,TRBV6-5,,IGHV3-13
24,TRBV6-6,,IGHV3-15
25,TRBV7-2,,IGHV3-20
26,TRBV7-9,,IGHV3-21
27,TRGV10,,IGHV3-23
28,TRGV2,,IGHV3-30
29,TRGV3,,IGHV3-33
30,TRGV8,,IGHV3-35
31,,,IGHV3-38
32,,,IGHV3-43
33,,,IGHV3-48
34,,,IGHV3-49
35,,,IGHV3-53
36,,,IGHV3-64
37,,,IGHV3-64D
38,,,IGHV3-66
39,,,IGHV3-7
40,,,IGHV3-72
41,,,IGHV3-73
42,,,IGHV3-74
43,,,IGHV3OR15-7
44,,,IGHV3OR16-12
45,,,IGHV3OR16-13
46,,,IGHV3OR16-17
47,,,IGHV3OR16-9
48,,,IGHV4-28
49,,,IGHV4-31
50,,,IGHV4-34
51,,,IGHV4-39
52,,,IGHV4-4
53,,,IGHV4-59
54,,,IGHV4-61
55,,,IGHV5-10-1
56,,,IGHV5-51
57,,,IGHV6-1
58,,,IGHV7-4-1
59,,,IGKV1-12
60,,,IGKV1-16
61,,,IGKV1-17
62,,,IGKV1-27
63,,,IGKV1-33
64,,,IGKV1-37
65,,,IGKV1-39
66,,,IGKV1-5
67,,,IGKV1-6
68,,,IGKV1-8
69,,,IGKV1-9
70,,,IGKV1D-12
71,,,IGKV1D-13
72,,,IGKV1D-16
73,,,IGKV1D-17
74,,,IGKV1D-33
75,,,IGKV1D-37
76,,,IGKV1D-39
77,,,IGKV1D-42
78,,,IGKV1D-43
79,,,IGKV1D-8
80,,,IGKV2-24
81,,,IGKV2-28
82,,,IGKV2-30
83,,,IGKV2-40
84,,,IGKV2D-24
85,,,IGKV2D-28
86,,,IGKV2D-29
87,,,IGKV2D-30
88,,,IGKV2D-40
89,,,IGKV3-11
90,,,IGKV3-15
91,,,IGKV3-20
92,,,IGKV3-7
93,,,IGKV3D-11
94,,,IGKV3D-15
95,,,IGKV3D-20
96,,,IGKV3D-7
97,,,IGKV3OR2-268
98,,,IGKV4-1
99,,,IGKV5-2
100,,,IGKV6-21
101,,,IGKV6D-21
102,,,IGLC2
103,,,IGLC7
104,,,IGLV1-36
105,,,IGLV1-40
106,,,IGLV1-44
107,,,IGLV1-47
108,,,IGLV1-51
109,,,IGLV10-54
110,,,IGLV2-11
111,,,IGLV2-14
112,,,IGLV2-18
113,,,IGLV2-23
114,,,IGLV2-8
115,,,IGLV3-1
116,,,IGLV3-10
117,,,IGLV3-16
118,,,IGLV3-19
119,,,IGLV3-21
120,,,IGLV3-22
121,,,IGLV3-25
122,,,IGLV3-27
123,,,IGLV3-9
124,,,IGLV4-3
125,,,IGLV4-60
126,,,IGLV4-69
127,,,IGLV5-45
128,,,IGLV5-48
129,,,IGLV7-43
130,,,IGLV7-46
131,,,IGLV9-49
132,,,TNFRSF17
