,Smooth.muscle.cells,Fibroblasts,T.cells,Endothelial.cells,Macrophages,Plasma.cells
0,ACTG2,HSPB6,CCL5,ADGRL4,AIF1,CD27
1,CNN1,HTRA3,CD2,CLEC14A,C1QA,CD79A
2,GPR20,ISLR,CD247,ECSCR,C1QC,DOK3
3,HSPB6,LUM,CD27,HYAL2,C3AR1,IGHG1
4,LUM,MFAP4,CD28,PECAM1,CD163,MYBL2
5,MFAP4,,CD3E,PLVAP,CD209,P2RX5
6,MYH11,,CD3G,TEK,CD33,ZBP1
7,,,CD6,,CR1,
8,,,CD69,,CSF1R,
9,,,CD7,,DOK3,
10,,,CD96,,FCAR,
11,,,CTSW,,FCGR2A,
12,,,EOMES,,FCGR3A,
13,,,FASLG,,JAML,
14,,,GBP5,,MEFV,
15,,,GPR174,,MPEG1,
16,,,GRAP2,,MS4A7,
17,,,GZMA,,MSR1,
18,,,GZMH,,NLRC4,
19,,,GZMM,,P2RY13,
20,,,IL18RAP,,RASGRP4,
21,,,IL2RB,,S100A12,
22,,,JAML,,SIGLEC1,
23,,,KLRB1,,SIGLEC14,
24,,,KLRG1,,SPI1,
25,,,KLRK1,,TBXAS1,
26,,,LCK,,TLR8,
27,,,PDCD1,,,
28,,,PYHIN1,,,
29,,,SAMD3,,,
30,,,SH2D2A,,,
31,,,TBX21,,,
32,,,ZAP70,,,
