sample,patient,n_cells,n_genes,nnz,primary,fold
COLUMBIA000157,P3,5481,26151,20681863,True,4
COLUMBIA090596,P6,4933,26864,25800018,True,2
COLUMBIA100163,P6,1554,25573,7904337,True,2
COLUMBIA130301,P4,4910,27301,23701988,True,3
COLUMBIA140122,P4,5660,27098,21140127,True,3
COLUMBIA160126,P5,2297,24590,9931453,True,4
COLUMBIA170139,P5,124,15083,188733,False,4
COLUMBIA990051,P3,1532,19529,1498553,True,4
Duke050575,P1,5229,26276,19715208,True,2
Duke070293,P2,4560,26788,15648573,True,2
Duke080105,P1,3579,22473,6404572,True,2
Duke100284,P2,5460,26063,18036113,True,2
MDA1010433,P9,547,21878,1298360,True,3
MDA1118141,P9,5610,27264,19917257,True,3
MDA774755,P8,2052,24919,7729636,True,3
MDA849796,P8,5509,25662,15806316,True,3
N0405762135,P51,6513,26869,23029097,True,4
N0506122731,P51,6768,26214,22493049,True,4
N0706824045,P41,2416,24187,8859769,True,0
N0806424735,P42,3715,25894,13423409,True,1
N080884b5509,P50,7296,27475,22601058,True,1
N0910876605,P42,2882,25765,10893248,True,1
N1010736250,P41,2913,24489,10243074,True,0
N1011956321,P50,5617,26526,17055328,True,1
N1107416866,P47,2421,25217,8951127,True,1
N1203607434,P55,5823,25541,13784172,True,4
N120810,P45,4483,26889,17703656,True,1
N130332,P55,3175,24400,9724158,True,4
N130428,P45,4674,26245,14180602,True,1
N130439,P43,795,17329,1340718,True,2
N131356,P43,3386,24062,5916467,False,2
N131376,P52,7341,27127,22366262,True,3
N140257,P52,5139,26250,15083701,True,3
N160535,P48,2226,24673,7277338,True,1
N161090,P47,2670,25063,6322565,True,1
N170821,P49,5642,26699,15189756,True,1
N171117,P54,7129,26245,22844534,True,2
N171302,P54,5299,25595,17402165,True,2
N171380,P48,3145,24318,2295190,False,1
N180819,P53,7821,26087,21665940,True,4
N181389,P49,1377,22788,3706508,True,1
N190264,P53,2624,24067,2022129,True,4
NL020,P58,1742,23855,5018584,True,2
NL021,P58,1908,22189,4073210,False,2
NL022,P58,3628,21605,5992850,True,2
NL060,P62,805,16534,1088017,False,3
NL061,P62,1631,20315,2002977,True,3
NL070,P63,4876,25891,11003202,True,2
NL071,P63,1970,24991,6570485,False,2
NL081,P64,3241,24494,5096617,False,0
NL082,P64,1159,22489,3529740,True,0
NL090,P65,10107,24763,19644247,True,4
NL091,P65,1720,20795,1464532,False,4
NL100,P66,2772,21570,1060831,False,0
NL101,P66,3827,25783,13270961,True,0
P189067,P56,6754,23925,12672898,True,3
P199752,P56,7213,24728,15312234,True,3
SMMG001A,P34,4217,25957,13361972,True,0
SMMG001B,P34,4699,26367,16232279,True,0
SMMG004A,P35,1905,23650,6191125,True,1
SMMG004B,P35,1390,22352,4013737,True,1
SMMG005A,P36,2793,25348,8673058,True,0
SMMG005B,P36,2738,24709,8574925,True,0
SMMG006A,P37,2694,23554,8081932,True,1
SMMG006B,P37,1163,23320,3991652,True,1
SMMG007A,P38,4250,25561,11693882,True,0
SMMG007B,P38,763,21700,1990009,True,0
SMMG008A,P39,741,20730,1718717,True,2
SMMG008B,P39,775,22243,2077722,True,2
SMMG009A,P40,2247,21043,4144529,False,3
SMMG009B,P40,4683,25735,11310756,True,3
SN010,P67,2301,23694,6058296,False,4
SN011,P67,4492,22862,5524076,False,4
SN020,P68,5167,25053,14641691,True,3
SN021,P68,5471,25147,13594522,True,3
SN030,P69,1245,22137,2190543,True,4
SN031,P69,2813,23326,5123748,True,4
SN040,P70,10135,26230,22088878,True,3
SN041,P70,2216,22346,4414351,True,3
SN060,P72,4610,24163,9265163,True,2
SN061,P72,4132,23730,8340630,True,2
SN080,P74,2615,23065,5859669,True,0
SN081,P74,6712,25308,13642535,False,0
SN100,P75,5510,25745,14705292,False,2
SN101,P75,2902,22514,6006434,True,2
SN130,P76,6091,26363,18210740,True,0
SN132,P76,3418,25181,9265313,True,0
SN150,P77,3547,25111,11394790,True,1
SN152,P77,5242,25468,12945846,True,1
SN160,P78,7263,25805,16408389,True,1
SN161,P78,3209,25973,10981753,False,1
TKU3074,P25,217,10096,92309,False,4
TKU3131,P25,1106,23874,1665439,False,4
TKU3163,P22,2629,24854,8478462,True,4
TKU3186,P20,4384,25958,13363277,True,2
TKU3261,P20,4654,26336,14708522,True,2
TKU3280,P23,4128,25619,11666621,True,3
TKU3288,P22,3153,25210,10053751,True,4
TKU3300,P21,1585,24689,2490538,True,2
TKU3316,P20,4295,25469,10388112,True,2
TKU3404,P23,5273,24254,9103471,True,3
TKU3421,P21,2000,23472,4501292,True,2
TKU3560,P26,2900,24935,9562730,True,0
TKU3614,P24,4937,26316,15322951,True,3
TKU3834,P24,4748,26883,15325774,False,3
TKU3851,P27,1062,23540,3457787,True,0
TKU3879,P30,3021,24768,7011531,True,0
TKU3899,P26,2705,24192,7304672,True,0
TKU4010,P27,1272,23652,4290968,True,0
TKU4110,P28,3757,21210,5170679,False,0
TKU4114,P29,1968,23508,7144863,True,3
TKU4163,P32,178,17180,582056,True,4
TKU4190,P29,2530,23905,9253877,True,3
TKU4249,P28,370,16592,532102,False,0
TKU4263,P31,2884,25482,9676594,True,1
TKU4291,P33,2601,24515,7401092,False,1
TKU4350,P32,175,17407,459567,False,4
TKU4354,P30,4184,26665,13156848,True,0
TKU4419,P31,133,16579,430135,False,1
TKU4487,P32,4722,23375,10533074,True,4
TKU4492,P33,1905,19753,2712483,False,1
